0.00000000000000E+0000	0
2.15000007301569E-0002	0.0011620069
4.14999984204769E-0002	0.0034264466
6.15000016987324E-0002	0.0064071156
8.15000012516975E-0002	0.0099590374
1.01499997079372E-0001	0.014001473
1.21500000357628E-0001	0.018479161
1.41499996185303E-0001	0.02334857
1.61500006914139E-0001	0.028572295
1.81500002741814E-0001	0.034116652
2.01499998569489E-0001	0.039950617
2.21499994397163E-0001	0.046045326
2.41500005125999E-0001	0.052373804
2.61500000953674E-0001	0.058910809
2.81500011682510E-0001	0.065632708
3.01499992609024E-0001	0.072517373
3.21500003337860E-0001	0.079544105
3.41500014066696E-0001	0.08669357
3.61499994993210E-0001	0.093947671
3.81500005722046E-0001	0.10128956
4.01499986648560E-0001	0.10870351
4.21499997377396E-0001	0.11617485
4.41500008106232E-0001	0.12368998
4.61499989032745E-0001	0.1312362
4.81499999761581E-0001	0.13880175
5.01500010490417E-0001	0.14637576
5.21499991416931E-0001	0.1539481
5.41499972343445E-0001	0.16150945
5.61500012874603E-0001	0.16905123
5.81499993801117E-0001	0.17656548
6.01499974727631E-0001	0.18404493
6.21500015258789E-0001	0.19148289
6.41499996185303E-0001	0.19887324
6.61499977111816E-0001	0.2062104
6.81500017642975E-0001	0.21348931
7.01499998569489E-0001	0.22070535
7.21499979496002E-0001	0.22785434
7.41500020027161E-0001	0.23493256
7.61500000953674E-0001	0.24193662
7.81499981880188E-0001	0.24886358
8.01500022411346E-0001	0.25571075
8.21500003337860E-0001	0.26247582
8.41499984264374E-0001	0.26915675
8.61500024795532E-0001	0.2757518
8.81500005722046E-0001	0.28225949
9.01499986648560E-0001	0.28867856
9.21500027179718E-0001	0.295008
9.41500008106232E-0001	0.301247
9.61499989032745E-0001	0.30739498
9.81500029563904E-0001	0.31345147
1.00150001049042E+0000	0.31941622
1.02149999141693E+0000	0.32528913
1.04149997234344E+0000	0.33107021
1.06149995326996E+0000	0.33675969
1.08150005340576E+0000	0.34235778
1.10150003433228E+0000	0.34786496
1.12150001525879E+0000	0.35328168
1.14149999618530E+0000	0.35860854
1.16149997711182E+0000	0.36384624
1.18149995803833E+0000	0.36899555
1.20150005817413E+0000	0.37405726
1.22150003910065E+0000	0.37903228
1.24150002002716E+0000	0.38392159
1.26150000095367E+0000	0.38872612
1.28149998188019E+0000	0.39344698
1.30149996280670E+0000	0.39808521
1.32149994373322E+0000	0.40264195
1.34150004386902E+0000	0.40711832
1.36150002479553E+0000	0.41151553
1.38150000572205E+0000	0.41583475
1.40149998664856E+0000	0.4200772
1.42149996757507E+0000	0.42424411
1.44149994850159E+0000	0.42833671
1.46150004863739E+0000	0.43235627
1.48150002956390E+0000	0.43630403
1.50150001049042E+0000	0.44018123
1.52149999141693E+0000	0.44398916
1.54149997234344E+0000	0.44772905
1.56149995326996E+0000	0.45140219
1.58150005340576E+0000	0.45500979
1.60150003433228E+0000	0.45855311
1.62150001525879E+0000	0.46203339
1.64149999618530E+0000	0.46545187
1.66149997711182E+0000	0.46880972
1.68149995803833E+0000	0.47210822
1.70150005817413E+0000	0.4753485
1.72150003910065E+0000	0.47853178
1.74150002002716E+0000	0.4816592
1.76150000095367E+0000	0.48473191
1.78149998188019E+0000	0.48775107
1.80149996280670E+0000	0.49071777
1.82149994373322E+0000	0.49363315
1.84150004386902E+0000	0.49649826
1.86150002479553E+0000	0.49931419
1.88150000572205E+0000	0.50208199
1.90149998664856E+0000	0.50480264
1.92149996757507E+0000	0.50747728
1.94149994850159E+0000	0.5101068
1.96150004863739E+0000	0.51269221
1.98150002956390E+0000	0.51523453
2.00149989128113E+0000	0.51773459
2.02150011062622E+0000	0.5201934
2.04150009155273E+0000	0.52261186
2.06150007247925E+0000	0.52499086
2.08150005340576E+0000	0.52733129
2.10150003433228E+0000	0.52963394
2.12150001525879E+0000	0.53189969
2.14149999618530E+0000	0.53412938
2.16149997711182E+0000	0.53632379
2.18149995803833E+0000	0.53848368
2.20149993896484E+0000	0.5406099
2.22149991989136E+0000	0.54270309
2.24149990081787E+0000	0.54476404
2.26149988174438E+0000	0.54679352
2.28150010108948E+0000	0.54879218
2.30150008201599E+0000	0.55076075
2.32150006294250E+0000	0.5526998
2.34150004386902E+0000	0.55461013
2.36150002479553E+0000	0.55649227
2.38150000572205E+0000	0.55834693
2.40149998664856E+0000	0.56017464
2.42149996757507E+0000	0.56197613
2.44149994850159E+0000	0.56375182
2.46149992942810E+0000	0.56550241
2.48149991035461E+0000	0.56722838
2.50149989128113E+0000	0.56893033
2.52150011062622E+0000	0.57060879
2.54150009155273E+0000	0.57226425
2.56150007247925E+0000	0.57389724
2.58150005340576E+0000	0.57550824
2.60150003433228E+0000	0.57709771
2.62150001525879E+0000	0.57866621
2.64149999618530E+0000	0.58021414
2.66149997711182E+0000	0.58174199
2.68149995803833E+0000	0.58325016
2.70149993896484E+0000	0.58473903
2.72149991989136E+0000	0.58620918
2.74149990081787E+0000	0.58766085
2.76149988174438E+0000	0.58909458
2.78150010108948E+0000	0.59051061
2.80150008201599E+0000	0.59190947
2.82150006294250E+0000	0.59329146
2.84150004386902E+0000	0.59465694
2.86150002479553E+0000	0.59600627
2.88150000572205E+0000	0.59733981
2.90149998664856E+0000	0.59865785
2.92149996757507E+0000	0.5999608
2.94149994850159E+0000	0.60124892
2.96149992942810E+0000	0.60252255
2.98149991035461E+0000	0.603782
3.00149989128113E+0000	0.60502756
3.02150011062622E+0000	0.60625952
3.04150009155273E+0000	0.60747814
3.06150007247925E+0000	0.60868371
3.08150005340576E+0000	0.60987657
